original_filename,image_url
Screenshot 2025-08-01 172322.png,http://localhost:8000/uploads/products/9329851e-64c6-47d0-b03b-28929ab1277a.png
Screenshot 2025-08-01 151309.png,http://localhost:8000/uploads/products/37e1ed27-f39d-402c-9a26-a20898709d72.png
Screenshot 2025-07-31 162018.png,http://localhost:8000/uploads/products/0f288ccd-cad4-405a-a0cb-a2a88b0e95c3.png
Screenshot 2025-07-31 154310.png,http://localhost:8000/uploads/products/d8d1a7e2-061d-4875-a796-c1d2e0bbf9a2.png
Screenshot 2025-07-30 144536.png,http://localhost:8000/uploads/products/6768bf77-bda8-4fac-be71-ed9c4304ab39.png
screencapture-localhost-8502-Podcasts-2025-07-29-17_27_27.png,http://localhost:8000/uploads/products/a28cc65e-b526-463c-9519-9cdfdaf2ad92.png
screencapture-localhost-8502-Podcasts-2025-07-29-17_16_07.png,http://localhost:8000/uploads/products/6b9c951d-3b8c-4a8b-a467-29a957b26785.png
Screenshot 2025-07-29 153704.png,http://localhost:8000/uploads/products/e8b6a52a-af14-46ca-be27-66ff6a94c357.png
screencapture-localhost-8502-Models-2025-07-29-11_56_07.png,http://localhost:8000/uploads/products/c724762d-c2e2-4b98-a1ec-9a334d707558.png
Screenshot 2025-07-28 170413.png,http://localhost:8000/uploads/products/465780b6-c3c7-4916-9df3-f4ce42662467.png
Screenshot 2025-07-28 163730.png,http://localhost:8000/uploads/products/51d9b622-2b14-4504-9ef3-92e2322d5fc4.png
Screenshot 2025-07-28 163628.png,http://localhost:8000/uploads/products/85ade204-eb24-4656-b879-b3521fd51dfe.png
screencapture-localhost-8502-Models-2025-07-28-16_28_52.png,http://localhost:8000/uploads/products/fa24484c-f79a-446f-85e0-b27fbff990f6.png
Screenshot 2025-07-28 162248.png,http://localhost:8000/uploads/products/33a5ddec-eaef-4673-bab6-36b9ed913e98.png
Screenshot 2025-07-28 114208.png,http://localhost:8000/uploads/products/f8a1d953-319d-47f6-a18b-42c8b1772693.png
Screenshot 2025-07-28 113740.png,http://localhost:8000/uploads/products/e81b2187-9b64-47fd-92e2-88ba8d0b4fb8.png
